host,ip,lastupdatetime
nemaf2011.beihua.edu.cn,175.16.216.43,2023-03-17 12:51:44
yfzx2.beihua.edu.cn,175.16.216.43,2023-03-17 12:27:56
xbbjb.beihua.edu.cn,175.16.216.43,2023-03-17 08:54:38
linxy.beihua.edu.cn,175.16.216.43,2023-03-17 05:02:23
jsjygzbgs.beihua.edu.cn,175.16.216.43,2023-03-17 05:00:25
123456789abcdefghijklmnopq.httauthserver.sslvpn.beihua.edu.cn,175.16.216.56,2023-03-17 05:00:25
jsjxy.beihua.edu.cn,175.16.216.43,2023-03-17 03:36:23
nongye.beihua.edu.cn,175.16.216.43,2023-03-17 03:36:23
teemaf2011.beihua.edu.cn,175.16.216.43,2023-03-17 03:33:15
hotel2.beihua.edu.cn,175.16.216.43,2023-03-17 03:29:27
wenming2.beihua.edu.cn,175.16.216.43,2023-03-17 03:27:56
meeting2.beihua.edu.cn,175.16.216.43,2023-03-17 03:27:56
